0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
11,Kadın,15-30,5-10,1,Lise,Hayır,Evli,Türkiye'de Kalmak,Türkiye,3,4,3,4,4,2,2,4,2,3,3,4,3,2,1,2,2,3,4,Anlama zorluğu.,"Güvenlilik, konfor ve güvence.",Dil zorluğu zor.,Onlarla konuşmak.,Güzel gelecek.,Güzel bir bilimsel gelecek var.,Çalışmaya bağlılık.,Hayatta daha iyiye doğru değişiklik.,Onlarla anlaşmak.,Çocuklara yönelik destek.,Yabancılar için işler daha karmaşık.,Sakin olmak mantıklı.,Okulda ve alışveriş yaparken.,Evet var.,Dil.,Sınır dışı edilmek.,Türkiye'ye giriş süremiz ve güvenliğimiz.,tüm türklerle başa çıkmanın zor olduğunu düşünüyordum ama inancım yanlıştı.,3,2,3,1,3,2,1,3,2,4
12,Erkek,10-15,5-10,5,Lise,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Çok iyi.,Savaştan kurtulmak.,İyilikle.,,Çok güzel.,Bizleri buradan atma korkusu.,Bir sıkıntı yok.,Türkçe yazmak ve konuşmak.,Suriyeli kardeşlerimizin dışlanmamasını istiyoruz.,Kira yardımına ihtiyaç duyuyorum.,Bizleri dışlamaları.,,,,,,,,1,1,2,1,1,2,3,1,1,3
13,Kadın,30-50,5-10,5,İlkokul,Hayır,Evli,Türkiye'de Kalmak,Türkiye,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Çok iyi.,Savaştan kurtulmak.,İyilikle.,,Çok güzel.,Bizleri buradan atma korkusu.,Bir sıkıntı yok.,Türkçe yazmak ve konuşmak.,Suriyeli kardeşlerimizin dışlanmamasını istiyoruz.,Kira yardımına ihtiyaç duyuyorum.,Bizleri dışlamaları.,,,,,,,,1,1,2,1,1,2,3,1,1,3
14,Erkek,30-50,5-10,5,İlkokul,Evet,Evli,Türkiye'de Kalmak,Türkiye,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Çok iyi.,Savaştan kurtulmak.,İyilikle.,,Çok güzel.,Bizleri buradan atma korkusu.,Bir sıkıntı yok.,Türkçe yazmak ve konuşmak.,Suriyeli kardeşlerimizin dışlanmamasını istiyoruz.,Kira yardımına ihtiyaç duyuyorum.,Bizleri dışlamaları.,,,,,,,,1,1,2,1,1,2,3,1,1,3
15,Erkek,30-50,10+,4,Okula Gitmedim,Evet,Evli,Türkiye'de Kalmak,Türkiye,5,5,5,3,3,3,5,3,3,3,4,3,4,2,3,4,5,4,5,Allah'a şükür hiçbir sorunla karşılaşmadım.,Kendimi güvende hissetme ve tüm sosyal hizmetler ve sağlık sağladı.,Çocuklarıma eğitim hakkı tanınmıyor.,Dil bilmemek.,Bundan emin değilim.,Çocuklarımın okula gitmesini umuyorum.,İyi iş fırsatları var.,Daha sorumlu oldum.,Eğitim.,Annem ve babam.,Hiçbir fikrim yok.,Allah'tan yardım dileriz.,Yok.,Evet çok iyi.,Bilmiyorum.,Yok.,Türk arkadaşlar.,Bilmiyorum.,4,2,2,2,2,1,4,2,1,4
16,Erkek,15-30,5-10,4,Okula Gitmedim,Hayır,Bekar,Türkiye'de Kalmak,Avrupa Ülkesi,4,2,2,3,2,3,1,4,4,2,1,4,1,1,2,1,1,1,1,,Güven olduğu için.,Normal.,Bir sorun yok.,Hiçbir şey beklemiyorum.,,,,,,,,,,,,,,,,,,,,,,,
17,Erkek,15-30,5-10,3,Üniversite,Evet,Evli,Türkiye'de Kalmak,Avrupa Ülkesi,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Her şey ırkçılık.,Güvende kalmak.,Yüksek fiyatlar ve zor yaşam.,Türk vatandaşlığı.,Bilinmeyen.,Bilmiyorum.,Bilmiyorum.,Gelecekten korkmak.,Birçok şey.,Türk vatandaşlığı.,Türk vatandaşlığı.,Çalışmak ve sabır.,Suriyeliye hakkını vermemek.,Yok.,Bilmiyorum.,Bilmiyorum.,Bilmiyorum.,Bilmiyorum.,2,2,2,2,2,2,2,2,2,2
18,Kadın,15-30,10+,,İlkokul,Hayır,Evli,Türkiye'de Kalmak,Avrupa Ülkesi,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Zor bir hayat.,Güvenlik.,Irkçılık.,Bilmiyorum.,Bilmiyorum.,Bilmiyorum.,Bilmiyorum.,Gelecekten korkmak.,Birçok şey.,Türk vatandaşlığı.,Türk vatandaşlığı.,Çalışmak ve sabır.,Suriyeliye hakkını vermemek.,Yok.,Bilmiyorum.,Bilmiyorum.,Bilmiyorum.,Bilmiyorum.,2,2,2,2,2,2,,2,2,2
19,Kadın,10-15,,5,İlkokul,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,4,4,4,4,1,4,1,3,3,3,4,2,3,3,4,3,4,3,3,,,,,,,,,,,,,,,,,,,4,2,2,1,3,3,4,3,1,1
20,Erkek,30-50,10+,4,İlkokul,Hayır,Evli,Türkiye'de Kalmak,Türkiye,3,4,4,1,3,1,3,3,4,,4,2,3,4,3,4,4,3,4,Ben böbrek yetmezliği hastasıyım. Çalışamıyorum.,Yok.,Durumum kötü.,Hastalığım.,Bilmiyorum.,Bilmiyorum.,Bilmiyorum.,Hastalığım.,Kendimi.,Kiram ve faturalarım.,Çalışamıyorum.,Hastalığım engel oldu.,,Hayır.,Evim ve çocuklarım.,İyileşmem.,Çocuklarım ve eşim.,Yok.,2,3,3,1,2,1,,3,,1
21,Kadın,10-15,10+,5,Lise,Hayır,Evli,Türkiye'de Kalmak,Türkiye,4,4,4,1,3,2,1,5,,4,4,3,3,3,2,4,4,4,3,Eşim böbrek hastası geçim çok zor.,,Geçimsizlikle baş edemiyorum.,,Bilemiyorum.,İsteklerimi alamıyorum.,Ben çalışamıyorum çocuklarım küçük.,Eşimin hastalığı.,Eşim.,"Kira, faturalarım evin ihtiyacı.","Geçinemiyorum üç çocukla, eşimin hastalğı.",Elimden hiçbir şey gelmiyor.,,Hayır.,Hayır.,Çocuklarımın ihtiyacı.,Çocuklarımın benimle olmaları.,Yok. ,4,3,3,1,2,3,3,3,3,1
22,Kadın,15-30,10+,4,İlkokul,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,4,5,5,3,5,5,3,5,3,4,4,4,4,3,3,4,3,2,4,Yaşam masraflarını ve ihtiyaçlarını karşılamanın zorluğu.,Güvenlik sağlayın.,Yüksek fiyatlar ve kiralar.,Türkçe öğretmek.,İyi.,Irkçılık.,İyi.,Kentsel gelişim tesisleri.,Eğitim ve entegrasyon.,Öğrenmek.,Sorun yok.,Hiçbir şey.,Hiçbir ayrım yok.,Evet var.,Yok.,Suriye'ye zorunlu iade.,Hizmetler.,Gelenek ve görenekler.,3,2,5,3,4,4,2,3,5,5
23,Erkek,10-15,10+,3,,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,5,5,5,4,,5,,5,,,,,5,5,4,3,3,5,,Hiç bilmiyorum.,,,,İyi.,İyi.,Çalışmıyorum.,Bilmiyorum.,Billmiyorum.,Okul.,Bilmem.,Bilmem.,Bilmiyorum.,Var.,Bilmiyorum.,Yok.,Bilmiyorum.,Bilmiyorum.,5,5,5,5,5,5,5,5,5,5
24,Kadın,15-30,10+,5,Lise,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,5,5,5,4,2,5,2,5,4,3,5,3,4,5,3,4,3,2,3,Yaşam masraflarını ve ihtiyaçlarını karşılamanın zorluğu.,Güvenlik sağlayın.,Yüksek fiyatlar ve kiralar.,Türkçe öğretmek.,İyi.,Irkçılık.,İyi.,Kentsel gelişim tesisleri.,Eğitim ve entegrasyon.,,Sorun yok.,Hiçbir şey.,Hiçbir ayrım yok.,,Yok.,Suriye'ye zorunlu iade.,Hizmetler.,Gelenek ve görenekler.,3,2,4,4,4,3,2,3,5,5
25,Kadın,10-15,10+,3,İlkokul,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,4,3,3,2,1,3,1,3,2,2,2,1,3,3,1,2,1,3,2,İstikrarsızlık.,Emniyet.,İstikrarsızlık.,Dil ve ayrımcılık.,Bilinmeyen.,Ayrımcılık.,Zor.,Türk toplumuna duyulan sevgi.,Türk toplumuyla entegrasyon.,İstikrar.,Haklarımızın garantisi yok.,Zor.,Irkçılık.,Evet. ,Dil.,Bizi koruyacak yasa yok.,Güvenlik ve huzur.,Kültür ve medeniyetten mahrumuz.,2,2,2,3,2,2,4,3,4,4
26,Kadın,30-50,10+,3,Lise,Hayır,Evli,Türkiye'de Kalmak,Türkiye,4,2,2,3,1,3,1,3,3,3,2,2,3,3,3,1,2,1,1,İstikrarsızlık ve yaşama zorluğu.,Emniyet.,İstikrarsızlık.,Dil ve ayrımcılık.,Bilinmeyen.,Ayrımcılık.,Zor ve maaş düşük.,Türk toplumuna duyulan sevgi.,Türk toplumuyla entegrasyon.,İstikrar.,Haklarımızın garantisi yok.,Zor.,Irkçılık.,Evet. ,Dil.,Bizi koruyacak yasa yok.,Güvenlik ve huzur.,Kültür ve medeniyetten mahrumuz.,2,2,2,3,2,2,4,3,4,4
27,Erkek,30-50,10+,4,Lise,Evet,Evli,Türkiye'de Kalmak,Türkiye,4,2,2,3,1,3,1,3,3,3,2,2,3,3,2,2,1,2,1,İstikrarsızlık ve yaşama zorluğu.,Emniyet.,İstikrarsızlık.,Dil ve ayrımcılık.,Bilinmeyen.,Ayrımcılık.,Zor ve maaş düşük.,Türk toplumuna duyulan sevgi.,Türk toplumuyla entegrasyon.,İstikrar.,Haklarımızın garantisi yok.,Zor.,Irkçılık.,Evet. ,Dil.,Bizi koruyacak yasa yok.,Güvenlik ve huzur.,Kültür ve medeniyetten mahrumuz.,2,2,2,3,2,2,4,3,4,4
28,Kadın,30-50,10+,3,Okula Gitmedim,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Davranışlar.,Yok.,Yardımlar.,,Orta.,Sağlık olsun ve okuma öğrensinler.,Çalışma yok.,Görmemezlik.,Bilmiyorum.,Fark etmez.,Davranışlar.,,Davranışlar.,Evet. ,Davranışlar.,Yok.,Yok.,Davranışlar.,1,1,1,5,1,1,1,1,1,1
29,Erkek,,2-5,2,,Evet,Dul,Türkiye'den Gitmek,Ortadoğu Ülkesi,2,3,2,2,2,3,4,2,1,2,3,3,2,2,2,,3,2,2,,İnsanlık.,,Güzel.,,Ülkenin güzel oluşu.,,İyiye gidiyor inşallah.,Vatandaş olmak istiyorum.,Geçim sıkıntısı.,Hiçbir şey.,,Evet.,İnsanların bağışları.,Ev sıkıntısı.,,"Güzel insanların olması, konuşmalarımız.",,3,2,2,4,2,2,2,3,4,2
30,Erkek,10-15,10+,5,İlkokul,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,4,5,5,4,4,5,1,4,4,5,2,5,5,5,2,4,4,5,3,Ayrımcılık.,Daha korunaklı.,Umursamıyorum.,,"Güzel, temiz.",Okumalarını.,Gayet iyi iş bulunuyor.,Türkçe öğrenmem.,Ayrımcılık azalsın.,Para.,Yok.,Umursamıyorum.,Otobüsler.,Evet oldu.,Dillerini anlamıyorum derler.,Fazla serseri var.,,,3,4,3,2,1,1,2,3,5,1
31,Kadın,50+,10+,5,Lise,Evet,Evli,Türkiye'de Kalmak,Türkiye,5,4,5,5,5,5,3,3,3,4,2,4,5,4,2,4,2,5,4,Çok fazla ayrımcılık görüyoruz.,Suriye'den daha güvenli.,Dışlanıyoruz. Umursamıyorum.,,İyi.,Okumalarını.,,Çok iyi.,Okuduktan sonra burdan Suriye'ye yollamak.,Çok şeyler var.,,Takmıyorum.,"Otobüs, okul pazar.",Oldu.,Okuma yazma.,Ayrımcılık yapmaları.,Çok iyi insanlarla tanıştım.,Herkesi aynı zannediyorlar.,2,1,2,2,2,1,2,2,1,1
32,Kadın,50+,5-10,3,İlkokul,Hayır,Evli,Türkiye'de Kalmak,Türkiye,5,5,5,5,5,3,4,5,5,5,,5,5,5,4,5,5,5,5,Anlaşma.,,Hiçbir şey.,Dile ve konuşmayla.,Güzel görüyorum.,Güzel bir gelecek olacağını umuyorum.,Çalışanların maaşlarına zam gelsin.,Hiçbir şey değişmedi.,Maddi durumlar.,Yaşamanın geliştirilmesi.,Hiçbir şey.,Hiçbir şey.,,,Hiçbir zorluk yaşamadık.,,Genelde hepsi güzel.,Hiçbir şey.,2,1,1,1,1,3,1,5,5,1
33,Kadın,30-50,10+,3,İlkokul,Hayır,Evli,Türkiye'de Kalmak,Türkiye,5,5,5,5,5,5,3,4,5,5,5,,5,5,4,5,5,5,5,Yaşamanın zorluğu dışında hiçbir zorluk yok ,Çocukların eğitimi ve güvenliği.,Hiçbir şey.,Yalnızca dil zorluğu.,Güzel.,Umarım güzel bir geleceği olur.,Anlamadım.,Bir şey yok.,,Mali durumun iyileştirilmesi.,,Bir şey yok.,Görmediği ayrımcılık yok.,Evet onlarla ilişkilerim iyi.,Anlama zorluğu.,,Her şey güzel.,Hiçbir şey.,2,1,1,1,1,1,3,1,5,5
34,Kadın,10-15,5-10,5,Lise,Hayır,Bekar,Türkiye'den Gitmek,Avrupa Ülkesi,3,3,4,3,,4,3,3,3,4,3,3,4,3,3,2,3,3,2,,Güvenli bir devlet.,Ayrımcılık biraz fazla.,,Belli değil.,,,Türkiye'ye küçük yaşta geldiğim için değişiklik yok.,,Daha iyi yerleşmeye ihtiyacımız var.,,Önem verme.,,Hayır olmadı.,Dil bilmeyen zorluk çeken var.,Seçim günü olabilir.,,Suriye'de savaşın bittiğini sanıyorlar.,4,3,3,,,3,,3,3,4
35,Kadın,10-15,10+,5,Lise,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,5,5,3,5,4,5,2,4,4,3,3,3,4,4,2,2,4,4,3,,Eğitim görme fırsatı bulabiliyoruz.,,,Öğretmen olduğumu görüyorum,"Umut olarak meslek sahibi olmaları, endişe ise üniversite paralarını ödeyebilmeleri.",,Eğitimime devam ediyorum.,,"Para, eğitim.",,Arkadaşlarımla dertleşiyorum.,Ortaokulda bir çocuk çok dışlıyordu. Liseye geçince dışlamayı bıraktı.,"Evet, oldu.",Bazı Suriyelilerin türkçe konuşamaması.,Ayrımcılık yapmaları.,"Yeni bir dil öğrendim, okumaya devam ediyorum.",,2,2,3,2,2,2,2,2,2,1
36,Kadın,10-15,5-10,5,Lise,Hayır,Bekar,Türkiye'de Kalmak,Avrupa Ülkesi,5,5,5,4,3,3,4,4,5,5,3,5,4,3,3,3,2,5,3,Zorluk yaşamıyorum.,Türkçeyi öğrenme.,Hiçbir şey.,Türkçe diliydi.,Bilmiyorum.,Bilmiyorum,Bilmiyorum.,Karakterim değişti.,Bilmiyorum.,Hiçbir şey.,Hiçbir sorunla karşılaşmıyorum.,,Okula ilk girdiğimde sorun vardı. Şimdi biraz sorun var.,Oldu.,Bilmiyorum.,Hiçbir şey.,Arkadaş kurma.,Bazen olumsuz şeyler olur. Bazen de olmaz.,3,2,3,,2,1,2,2,3,3
37,Kadın,30-50,10+,3,Okula Gitmedim,Hayır,Evli,Türkiye'de Kalmak,Türkiye,5,5,5,5,3,3,3,5,5,5,5,3,5,5,3,4,4,4,3,Dil.,Kimliğim başka şehirde. O problem.,Yok bir şey.,Yok bir şey.,İyiyim.,Oğlum okula gitmedi.,Yok bir şey.,Yok bir şey.,Bilmiyorum.,Eşimle birlikte İstanbul'da kalmak.,Yok bir şey.,Direniyorum.,Yok bir şey.,Yok.,Bilmiyorum.,Çok iyiyim.,Çok güzel.,,,,,,,,,,,
38,Kadın,10-15,10+,5,Lise,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,3,4,3,4,4,5,1,4,4,3,3,3,3,4,3,3,3,3,3,Yok.,Eğitim.,Yok.,,Allah'ın izniyle güzel olacağını umuyorum.,,Çok iyi.,Zekam.,,İyi bir okulda okumak.,Yok.,Şu ana kadar hiçbir şey yaşamadım.,Irk.,Çok oldu.,,Yok.,İstanbul'u keşfetmekti.,,3,4,3,1,,3,4,4,3,3
39,Kadın,10-15,5-10,5,İlkokul,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,5,5,4,5,4,5,3,5,4,4,3,1,4,5,3,3,5,5,4,Yok.,Eğitim alabilmek.,Sevdiklerimi görememek. Telefonla görüşüyoruz.,Trafik.,Mesleğime kavuşmuş.,Bilmiyorum. Düşünmedim.,Çok iyi denilemez ama iyi.,"Yeni yaşam, yeni ortam, yeni arkadaşlar ve sevgi.",Sosyalleşmeyi.,Pek şeye ihtiyaç duymuyorum.,Yok.,Gerekeni yapıyorum. Çözüm bulmaya çalışıyorum.,Belki sınıf içinde olabilir ama bende yok.,"Evet, kampanya kurdum. Sadece ben değilim ve bu beni mutlu etti.",Belki anlamıyorlardır.,Kendimi güvende hissediyorum.,İstediğim şeylere ulaşıyorum.,Pek bilmiyorum.,1,1,1,1,1,1,1,1,1,1
40,Erkek,10-15,5-10,5,Lise,Hayır,Bekar,Türkiye'de Kalmak,Avrupa Ülkesi,5,5,5,4,3,3,4,4,,3,3,5,4,3,3,3,2,5,3,Zorluk yaşamıyorum.,Türkçeyi öğrenme.,Hiçbir şey.,Türkçe diliydi.,Bilmiyorum.,Bilmiyorum.,,Karakterim değişti.,Bilmem.,Hiçbir şey.,Hiçbir sorunla karşılaşmıyorum.,,İlkokulda bazı sorunlar vardı şimdi yok.,Oldu.,Bilmiyorum.,Hiçbir şey.,Arkadaş kurma.,Bazen olumsuz şeyler olur. Bazen de olumlu.,3,2,3,,2,1,2,2,3,3
41,Kadın,30-50,5-10,3,İlkokul,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,3,3,4,4,3,4,2,5,3,3,3,4,4,5,4,3,4,4,3,İşleri zar zor bulmamız.,İyi bir yerde yaşamamız. Hepimiz mutlu huzurluyuz.,Yok.,Anlamadım.,Çok iyi.,Moda tasarımcı olmak.,Bence iyidir ama iş bulmak zor.,Güvende bir yerde oturmuş olmam.,Hiçbir şey.,"Paraya, güvene ve işe ihtiyaç duyuyorum.",Yok.,Elimden geleni yaparım. Sabırlı ve güçlü olurum.,Suriyeliyim diye benimle oynamamaları veya konuşmamaları.,Onlar bana kötü davrandıklarında onlara saygı duymam.,"Fazla arkadaşları olmaması, onlarla dalga geçmeleri.",Yok.,Yok.,Bazı kişiler onlarla dalga geçtikleri için herkesin dalga geçeceğini düşünmeleri.,3,3,4,4,2,3,3,4,2,4
